FeatureSurface	RepoExtensionKind	SupportPhase	UpstreamCoverageBucket	FixtureReadiness	ModelSectionOrder	ParamNameStyle	ParameterSeparator	TypeInference	ValueLexemeStyle	ParameterReuse	InlineParameterOrder	ResultParameter	ValueSeparator	AliasFeature	AliasSeparator	AliasSemantics	NegativeFeature	NegativePrefix	NegativeSemantics	Weighting	DummyValueTechnique	ConstraintForm	StatementStyle	PredicateKind	LogicalComplexity	ConstraintTyping	CaseSensitivity	UnknownParameterHandling	GenerationStrength	Submodeling	SubmodelTopology	Randomization	Seeding	SeedingMismatchHandling	Statistics
repo_extension	function_predicate	reference_regression	regression_corpus	indexed_only	params_then_constraints	simple	colon	numeric_only	regular	off	off	off	custom_delimiter	off	NA	NA	off	NA	NA	on	on	invariant	multiline_semicolon	in_set	not_with_parentheses	loose_custom	insensitive_default	hard_error	explicit_n	none	NA	seeded	partial_rows	ignore_unknown_column	off
public_doc	none	required_v0_1	core_constraints	materialized_and_checked	params_submodels_constraints	whitespace	delimiter_only	mixed	regular	off	off	off	custom_delimiter	off	NA	NA	on	tilde_default	prefix_stripped_for_semantics	off	on	if_then_else	single_line_semicolon	parameter_compare	not_with_parentheses	pict_strict	insensitive_default	warning_drop_constraint	explicit_n	none	NA	off	none	NA	off
public_doc	none	deferred_v0_3	public_deferred_generation	indexed_only	params_only	empty	colon	mixed	empty_value	off	off	off	custom_delimiter	on	custom_delimiter	primary_name_only	on	tilde_default	prefix_stripped_for_semantics	off	on	if_then	multiline_semicolon	parameter_compare	single_term	loose_custom	sensitive_option	hard_error	default_pairwise	overlapping	one_level_only	seeded	partial_rows	skip_constraint_violating_row	on
repo_extension	hidden_generation_mode	repo_extension_non_goal	repo_extension_only	indexed_only	params_submodels_constraints	empty	colon	string_only	regular	on	off	off	comma_default	on	pipe_default	primary_name_only	off	NA	NA	on	off	invariant	single_line_semicolon	in_set	single_term	loose_custom	insensitive_default	warning_drop_constraint	explicit_n	none	NA	off	partial_rows	skip_constraint_violating_row	off
public_doc	none	required_v0_1	core_constraints	materialized_and_checked	params_then_constraints	simple	delimiter_only	numeric_only	empty_value	off	off	off	comma_default	off	NA	NA	off	NA	NA	off	on	invariant	multiline_semicolon	in_set	and_or	pict_strict	sensitive_option	hard_error	max_keyword	none	NA	off	none	NA	on
public_doc	none	required_v0_1	core_cli_parser	materialized_and_checked	params_then_constraints	whitespace	delimiter_only	mixed	empty_value	off	off	off	custom_delimiter	off	NA	NA	off	NA	NA	off	on	invariant	single_line_semicolon	in_set	single_term	loose_custom	insensitive_default	hard_error	default_pairwise	none	NA	off	none	NA	on
repo_extension	format_output	reference_regression	regression_corpus	indexed_only	params_submodels_constraints	whitespace	delimiter_only	numeric_only	empty_value	on	off	off	comma_default	off	NA	NA	off	NA	NA	off	off	if_then	single_line_semicolon	literal_compare	and_or	pict_strict	insensitive_default	warning_drop_constraint	max_keyword	none	NA	seeded	full_rows	ignore_unknown_column	on
repo_extension	function_predicate	repo_extension_non_goal	repo_extension_only	indexed_only	params_submodels_constraints	whitespace	delimiter_only	string_only	empty_value	on	off	off	comma_default	on	pipe_default	primary_name_only	on	custom_prefix	single_invalid_per_row	off	off	invariant	single_line_semicolon	parameter_compare	single_term	pict_strict	sensitive_option	warning_drop_constraint	max_keyword	explicit_order	one_level_only	on	full_rows	ignore_unknown_value	on
public_doc	none	deferred_v0_2	public_deferred_structure	indexed_only	params_then_constraints	simple	colon	numeric_only	empty_value	off	off	off	custom_delimiter	on	pipe_default	primary_name_only	off	NA	NA	off	off	none	NA	NA	NA	NA	sensitive_option	NA	default_pairwise	none	NA	off	none	NA	off
repo_extension	function_predicate	repo_extension_non_goal	repo_extension_only	indexed_only	params_only	empty	delimiter_only	mixed	regular	off	off	off	comma_default	off	NA	NA	off	NA	NA	on	off	if_then_else	multiline_semicolon	literal_compare	not_with_parentheses	pict_strict	insensitive_default	warning_drop_constraint	explicit_n	overlapping	one_level_only	off	none	NA	off
public_doc	none	required_v0_1	core_constraints	materialized_and_checked	params_submodels_constraints	simple	colon	string_only	empty_value	off	off	off	comma_default	off	NA	NA	off	NA	NA	off	on	invariant	multiline_semicolon	literal_compare	single_term	pict_strict	insensitive_default	warning_drop_constraint	explicit_n	none	NA	off	none	NA	on
public_doc	none	required_v0_1	core_cli_parser	materialized_and_checked	params_only	simple	colon	numeric_only	regular	off	off	off	custom_delimiter	off	NA	NA	off	NA	NA	off	on	if_then	multiline_semicolon	literal_compare	and_or	pict_strict	insensitive_default	warning_drop_constraint	explicit_n	none	NA	off	none	NA	off
repo_extension	hidden_generation_mode	reference_regression	regression_corpus	indexed_only	params_then_constraints	whitespace	delimiter_only	mixed	regular	off	off	off	comma_default	off	NA	NA	off	NA	NA	on	on	if_then_else	multiline_semicolon	parameter_compare	not_with_parentheses	pict_strict	sensitive_option	hard_error	default_pairwise	explicit_order	one_level_only	on	full_rows	ignore_unknown_value	on
repo_extension	format_output	repo_extension_non_goal	repo_extension_only	indexed_only	params_submodels_constraints	empty	delimiter_only	string_only	regular	on	off	off	custom_delimiter	off	NA	NA	off	NA	NA	on	on	if_then_else	single_line_semicolon	like_pattern	single_term	pict_strict	sensitive_option	hard_error	explicit_n	explicit_order	one_level_only	on	partial_rows	ignore_unknown_column	off
repo_extension	result_parameter	repo_extension_non_goal	repo_extension_only	indexed_only	params_submodels_constraints	whitespace	colon	mixed	empty_value	off	off	on	comma_default	off	NA	NA	off	NA	NA	on	off	none	NA	NA	NA	NA	insensitive_default	NA	default_pairwise	none	NA	seeded	full_rows	ignore_unknown_column	on
public_doc	none	required_v0_1	core_cli_parser	materialized_and_checked	params_submodels_constraints	simple	colon	string_only	empty_value	off	off	off	comma_default	off	NA	NA	off	NA	NA	off	off	if_then_else	multiline_semicolon	like_pattern	and_or	loose_custom	insensitive_default	hard_error	explicit_n	none	NA	off	none	NA	off
repo_extension	inline_param_order	reference_regression	regression_corpus	indexed_only	params_submodels_constraints	whitespace	delimiter_only	string_only	empty_value	off	on	off	comma_default	off	NA	NA	off	NA	NA	on	off	invariant	single_line_semicolon	like_pattern	not_with_parentheses	pict_strict	sensitive_option	warning_drop_constraint	explicit_n	inherited_order	one_level_only	off	full_rows	ignore_unknown_value	off
public_doc	none	deferred_v0_2	public_deferred_structure	indexed_only	params_submodels_constraints	whitespace	delimiter_only	string_only	regular	off	off	off	custom_delimiter	off	NA	NA	off	NA	NA	off	on	if_then	multiline_semicolon	literal_compare	not_with_parentheses	loose_custom	sensitive_option	hard_error	max_keyword	inherited_order	one_level_only	off	none	NA	off
repo_extension	function_predicate	reference_regression	regression_corpus	indexed_only	params_submodels_constraints	simple	delimiter_only	numeric_only	empty_value	on	off	off	comma_default	off	NA	NA	on	tilde_default	prefix_stripped_for_semantics	on	off	if_then	single_line_semicolon	like_pattern	not_with_parentheses	loose_custom	insensitive_default	hard_error	default_pairwise	none	NA	seeded	partial_rows	skip_constraint_violating_row	off
repo_extension	hidden_generation_mode	reference_regression	regression_corpus	indexed_only	params_only	whitespace	delimiter_only	string_only	empty_value	on	off	off	comma_default	off	NA	NA	off	NA	NA	on	off	none	NA	NA	NA	NA	insensitive_default	NA	max_keyword	explicit_order	one_level_only	seeded	none	NA	on
